model,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,predicted_positive_rate
Логістична регресія,0.7493029012929022,0.6405472636815921,0.6551922804578167,0.0940159209442767,0.6715686274509803,0.16494100650132434,0.7054154918697617,0.10358919318694472,0.3775912106135987
Градієнтний бустинг,0.4847310139638373,0.7902674129353234,0.5338215982387702,0.0713678844519966,0.24705882352941178,0.11074489123269611,0.6520358050201915,0.0780503007285728,0.1829912935323383
Випадковий ліс,0.4536072257730644,0.8122408789386402,0.5107086761165398,0.05985796415285763,0.17352941176470588,0.08901181795323108,0.520377254644471,0.05850023590714559,0.15324419568822553
Дерево рішень,0.6454328370270099,0.814262023217247,0.5122384869903313,0.06095890410958904,0.17450980392156862,0.09035532994923857,0.45682835948999867,0.05617656499101963,0.15132669983416253
